Assembly IDs	0	1	operon	interested lineages	operon pro	show_text
GCA_003268875.1	-49.27844277120231	210.53304485243228	AMO	beta	beta-AMO	Betaproteobacteria
GCF_900107715.1	-61.98750727858232	210.13656965031876	no	beta	no	Betaproteobacteria
GCA_003046585.1	92.42520944964464	-38.48504828794965	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900110185.1	-64.84283620562121	295.61987439376526	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900107265.1	-121.2810070059238	11.902119877136675	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900101945.1	21.44199228260922	231.25915413039772	AMO	beta	beta-AMO	Betaproteobacteria
GCA_000355765.4	-11.306039387774888	190.9557990094236	AMO	beta	beta-AMO	Betaproteobacteria
GCA_015075225.1	-109.4493043437345	34.47048519186836	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003050825.1	27.11422466078264	228.2231359772176	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003046355.1	13.978828470636136	68.9638673786844	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900111605.1	109.80033773260496	-27.105037874638644	AMO	beta	beta-AMO	Betaproteobacteria
GCA_009833085.1	19.76331346027411	-22.462636678091823	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900111585.1	-65.29833902290318	255.11034365572155	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900111165.1	0.5053089697692238	-64.12072940584837	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003050965.1	-39.59023823858384	238.276593282041	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003053905.1	-83.72135404528967	232.7904897543194	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003046605.1	26.760443734643072	228.26828209759375	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900103165.1	28.23297247378095	226.6114429481301	AMO	beta	beta-AMO	Betaproteobacteria
GCA_015709635.1	56.21001951105683	-7.223320980007579	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_900114305.1	126.26724593650472	-73.11686302826104	AMO	beta	beta-AMO	Betaproteobacteria
GCF_900106875.1	-28.46360493570818	48.65790530413844	no	beta	no	Betaproteobacteria
GCA_900112825.1	-17.914804190553383	-18.701926086172534	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900107165.1	45.070903176598605	-128.1986983606459	AMO	beta	beta-AMO	Betaproteobacteria
GCA_006742785.1	-38.97463755818667	41.01644264439537	AMO	beta	beta-AMO	Betaproteobacteria
GCF_900167395.1	-12.896199651498602	49.78947833852291	no	beta	no	Betaproteobacteria
GCA_016707165.1	34.075252942933545	-58.23922671126743	AMO	beta	beta-AMO	Betaproteobacteria
GCF_900100815.1	14.42620677833874	66.73866490586644	no	beta	no	Betaproteobacteria
GCF_900108975.1	1.6377547815530689	55.443758588599984	no	beta	no	Betaproteobacteria
GCA_000619905.2	-52.24068325672216	257.98601206329016	AMO	beta	beta-AMO	Betaproteobacteria
GCA_016703745.1	-101.59410666602264	-40.217811659515625	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900119085.1	-6.561381464015683	177.12393915497984	no	beta	no	Betaproteobacteria
GCA_900110495.1	-81.22314602472626	241.76761176691863	AMO	beta	beta-AMO	Betaproteobacteria
GCA_001899235.1	-21.091706449954884	270.8162021907657	AMO	beta	beta-AMO	Betaproteobacteria
GCA_018406445.1	-39.67025822838334	262.9540059609052	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003046255.1	-57.02568961222164	-71.13918182091513	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900114795.1	-63.30769185761903	-70.81362181995121	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003663975.1	-81.86662022563965	242.31805207330729	AMO	beta	beta-AMO	Betaproteobacteria
GCA_000175095.2	32.445460367564834	13.116750031346298	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003046405.1	-81.46261777053286	201.45076946576728	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900113925.1	-93.52064657274704	-5.015359134728948	AMO	beta	beta-AMO	Betaproteobacteria
GCA_905220645.1	-14.882305365091058	-95.12135586467588	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900142705.1	-132.9092471513282	241.75571603733223	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900109785.1	-108.4355321748434	186.4955856043746	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900100985.1	-87.74071462814963	215.96719434867657	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003046215.1	53.187776491766	-35.56324226523612	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900114745.1	-80.85355254815462	-79.25169314933282	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900105875.1	74.0058671971511	33.2607175877814	no	beta	no	Betaproteobacteria
GCA_003051105.1	-41.24669339522645	-90.70580025537032	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900108305.1	45.851908514358165	35.05309341464225	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900103035.1	-63.48693131036779	-100.82154319989316	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003851125.1	491.9091716016884	11.697263958818612	no	beta	no	Betaproteobacteria
GCA_015709615.1	34.481105860018886	-16.072015381443624	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_900115125.1	-74.48755916859446	237.88367849707785	AMO	beta	beta-AMO	Betaproteobacteria
GCA_001455205.1	42.44443470321266	30.294890085561896	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003201725.1	9.44012389512049	13.37904181178245	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900103145.1	-111.81019171215212	228.64330237561435	AMO	beta	beta-AMO	Betaproteobacteria
GCA_002162035.1	336.9308502832802	20.441390409790746	no	beta	no	Betaproteobacteria
GCA_900113575.1	-127.79054530919792	218.7000948924928	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003268895.1	-67.44749469977226	193.97361884401985	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900115325.1	-82.76754328019096	217.966996594774	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900106545.1	-82.41588537985544	-75.36400287218328	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003633815.1	-91.41818154443264	231.08892932828775	AMO	beta	beta-AMO	Betaproteobacteria
GCA_001007935.1	-86.35838335922259	-50.56115987384855	AMO	beta	beta-AMO	Betaproteobacteria
GCF_900111055.1	51.229996759487385	10.493908177601664	no	beta	no	Betaproteobacteria
GCA_003011925.2	86.20885546146319	26.114128132649174	AMO	beta	beta-AMO	Betaproteobacteria
GCA_008124795.1	-86.27483547884866	-50.393386886598165	AMO	beta	beta-AMO	Betaproteobacteria
GCA_007992375.1	439.1213404429661	-29.74298663271519	no	beta	no	Betaproteobacteria
GCA_900206265.1	16.6341955316026	19.75713548556602	AMO	beta	beta-AMO	Betaproteobacteria
GCA_016708955.1	-138.66584386795518	-37.05984364238658	AMO	beta	beta-AMO	Betaproteobacteria
GCA_000219585.1	45.708121563687456	-54.024192569512365	AMO	beta	beta-AMO	Betaproteobacteria
GCA_003268955.1	168.616853950454	42.65700180967637	AMO	beta	beta-AMO	Betaproteobacteria
GCF_900215345.1	36.803697896641765	16.391454444843237	no	beta	no	Betaproteobacteria
GCA_003051045.1	30.70927341151261	17.351390727385166	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900115725.1	-5.238748473696442	-31.225372821857448	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900110145.1	115.20969034855187	26.23197079673611	AMO	beta	beta-AMO	Betaproteobacteria
GCA_900143275.1	-3.356806343212129	-28.02441876762317	AMO	beta	beta-AMO	Betaproteobacteria
GCA_000340905.1	-438.26744829977457	385.8430318319533	no	beta	no	Betaproteobacteria
GCA_014190895.1	-253.78285071407	105.78868521268032	no	beta	no	Betaproteobacteria
GCA_016235025.1	272.74621410360675	195.71610068017333	EMO	beta	EMO	Betaproteobacteria
GCA_003514765.1	-317.8349564627263	210.2376786315536	AMO	beta	beta-AMO	Betaproteobacteria
GCA_000340865.1	-458.8289862952829	419.3717347695117	no	beta	no	Betaproteobacteria
GCA_009919685.1	-175.20196529936197	-83.80345221954063	no	beta	no	Betaproteobacteria
GCA_000340925.1	-434.9298683594796	381.7316168033232	no	beta	no	Betaproteobacteria
GCA_016721865.1	-102.8436266166445	-53.76477730350141	AMO	beta	beta-AMO	Betaproteobacteria
GCA_016705625.1	-51.36566713598182	-20.235731829628683	AMO	beta	beta-AMO	Betaproteobacteria
GCA_000340825.1	-441.0371490286025	388.4765198212696	no	beta	no	Betaproteobacteria
GCA_000340795.1	-439.74276596739577	390.89773355265294	no	beta	no	Betaproteobacteria
GCA_905612245.1	-492.2307089944225	476.3996036964347	AMO	beta	beta-AMO	Betaproteobacteria
GCA_016710135.1	-82.63862175933286	-9.747111318386958	AMO	beta	beta-AMO	Betaproteobacteria
GCA_002083395.1	-31.574748072681054	-8.141316176819474	AMO	others	AMO	U. Proteobacteria
GCA_000319225.1	-443.4299244397861	392.0554616189106	no	beta	no	Betaproteobacteria
GCF_004345375.1	27.46537142958607	-17.80699532419898	no	beta	no	Betaproteobacteria
GCA_018241205.1	-131.322697202778	15.380956537197488	AMO	others	AMO	
GCA_000319245.1	-434.1911794925461	383.3788776623804	no	beta	no	Betaproteobacteria
GCA_019278155.1	-453.1541539603544	409.99326922345085	no	beta	no	Betaproteobacteria
GCF_900111725.1	-12.867144425924051	50.96627473157744	no	beta	no	Betaproteobacteria
GCA_014635705.1	558.6775329694086	310.04647515334125	no	beta	no	Betaproteobacteria
GCF_900108135.1	-71.26806660593421	215.21456822074876	no	beta	no	Betaproteobacteria
GCF_003664085.1	56.33459688036219	-15.018089164112764	no	beta	no	Betaproteobacteria
GCA_014897675.1	548.6000731523217	1307.5547819185902	no	beta	no	Betaproteobacteria
GCA_000506985.1	559.9738556833823	1300.1470878413083	no	beta	no	Betaproteobacteria
GCA_010983895.1	862.73350145072	50.85658410955821	no	beta	no	Betaproteobacteria
GCA_002810445.1	456.7056303403816	1227.609805892785	no	beta	no	Betaproteobacteria
GCA_007281405.1	-1023.2844163338292	-636.352812915584	no	beta	no	Betaproteobacteria
GCA_008015565.1	-140.2459206333187	-5.3221950367679165	AMO	beta	beta-AMO	Betaproteobacteria
GCA_018882975.1	-142.4548361484962	417.16345051909127	no	beta	no	Betaproteobacteria
GCA_010499255.1	263.2054189932702	825.8322055805928	no	beta	no	Betaproteobacteria
GCA_018324385.1	241.6268736548995	37.49320856626724	no	beta	no	Betaproteobacteria
GCA_000740745.1	-25.206259630352527	-346.9154163979	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_016718525.1	311.8236474556315	619.6581785435159	no	beta	no	Betaproteobacteria
GCA_009360475.1	343.64204828154334	59.00750631331632	no	beta	no	Betaproteobacteria
GCA_017306195.1	-648.808199715555	768.5436938409371	AMO	beta	beta-AMO	Betaproteobacteria
GCA_016706645.1	867.086409703173	-9.666117979533205	no	beta	no	Betaproteobacteria
GCA_900078315.1	847.0196265451333	1204.0285647800065	no	beta	no	Betaproteobacteria
GCA_000013705.1	351.1101291820322	55.28999357011973	no	beta	no	Betaproteobacteria
GCA_003939885.1	1485.5396140707178	764.0015208804834	no	beta	no	Betaproteobacteria
GCA_009693465.1	-451.5333546023917	482.8726594065065	no	beta	no	Betaproteobacteria
GCA_009937995.1	430.608250104514	44.42720633658196	no	beta	no	Betaproteobacteria
GCA_900187985.1	234.595270149857	160.4224700214831	no	beta	no	Betaproteobacteria
GCA_016716965.1	862.4619068357046	117.1322579898943	no	beta	no	Betaproteobacteria
GCA_016712985.1	896.3568199848256	17.353149883287493	no	beta	no	Betaproteobacteria
GCA_003112435.1	427.6890091521867	-83.0228992747105	no	beta	no	Betaproteobacteria
GCA_012910925.1	789.6909624433777	134.5481864478494	no	beta	no	Betaproteobacteria
GCA_009469605.1	950.8559415312244	21.18213975992501	no	beta	no	Betaproteobacteria
GCA_008107625.1	1053.3317183828717	66.92197048681781	no	beta	no	Betaproteobacteria
GCA_003058465.1	265.2153406717265	975.7968819034415	no	beta	no	Betaproteobacteria
GCA_017894365.1	792.7269436464827	133.5883800286735	no	beta	no	Betaproteobacteria
GCA_016710885.1	418.6498749331666	206.0801944956933	no	beta	no	Betaproteobacteria
GCA_900078705.1	1269.974348145092	714.1773881808153	no	beta	no	Betaproteobacteria
GCA_016708585.1	293.03865298900536	630.4891165338413	no	beta	no	Betaproteobacteria
GCA_002101235.1	32.61247733847255	-307.6731215873358	EMO	gamma	EMO	Gammaproteobacteria
GCA_000299965.1	308.9640584870639	-243.33728993711404	no	gamma	no	Gammaproteobacteria
GCA_902810445.1	-298.6143607519116	-189.9988015554631	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_002356115.1	-268.895208293988	-225.9089917958871	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_004421105.1	-251.21523083936123	-746.3278301880542	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_000024725.1	-179.75688259106764	561.9811657070887	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_000143085.1	-136.75750130956922	338.35495933667727	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_000740735.1	-151.80768379734786	346.7934876945517	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_000012805.1	90.60065004192528	-388.3627695728218	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_007990675.1	-99.01816806919511	387.58580565955583	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_000155655.1	-107.69878653378848	388.9770570072287	AMO	gamma	gamma-AMO	Gammaproteobacteria
GCA_001644045.1	385.11480084738105	-963.366276741222	PXM	gamma	PXM	Gammaproteobacteria
GCA_003991975.1	-203.86663640068804	-1206.4451554655286	no	gamma	no	Gammaproteobacteria
GCA_903064715.1	353.4686382927046	-937.556068325782	PMO	gamma	PMO	Gammaproteobacteria
GCA_011882205.1	390.5373257934944	-884.4667910267849	PMO	gamma	PMO	Gammaproteobacteria
GCA_902459475.1	-439.3926717758866	852.5730544548103	no	gamma	no	Gammaproteobacteria
GCA_000963695.1	41.125793608635874	-957.2746290619524	PMO	gamma	PMO	Gammaproteobacteria
GCA_014850955.1	353.4686382923838	-937.556068326018	PMO	gamma	PMO	Gammaproteobacteria
GCA_014850975.1	395.3491731503863	-1002.647344395584	PMO	gamma	PMO	Gammaproteobacteria
GCA_000384415.1	318.2699135870363	-252.97920685888016	no	gamma	no	Gammaproteobacteria
GCA_002209385.1	64.63751927650786	-900.6684006579816	PMO	gamma	PMO	Gammaproteobacteria
GCA_001644115.1	416.2754159310103	-1000.7987651421696	PXM	gamma	PXM	Gammaproteobacteria
GCA_000372865.1	259.19061482004474	-951.7852282150756	PXM	gamma	PXM	Gammaproteobacteria
GCA_000442595.1	394.9521091695971	-288.5243661244158	no	gamma	no	Gammaproteobacteria
GCA_015476545.1	230.15170178121863	-1079.1266035119338	PMO	gamma	PMO	Gammaproteobacteria
GCA_001856095.1	403.609860492949	-892.703985326783	PMO	gamma	PMO	Gammaproteobacteria
GCA_016925515.1	375.9774823361914	-903.0877513226148	PMO	gamma	PMO	Gammaproteobacteria
GCF_000384075.1	131.9974226542155	-873.1696024017482	no	gamma	no	Gammaproteobacteria
GCA_013141865.1	396.5279584460296	-974.0901703148678	PXM	gamma	PXM	Gammaproteobacteria
GCA_001644015.1	308.5596722580047	-903.1788514259968	PMO	gamma	PMO	Gammaproteobacteria
GCA_003994235.2	241.58563963576205	-1100.240472011159	PXM	gamma	PXM	Gammaproteobacteria
GCA_001644135.1	379.8460840833818	-925.8754912460472	PXM	gamma	PXM	Gammaproteobacteria
GCA_001644095.1	389.2485694322538	-870.1629755204413	PXM	gamma	PXM	Gammaproteobacteria
GCA_001644685.1	385.0712408077347	-872.1093343770497	PXM	gamma	PXM	Gammaproteobacteria
GCA_004168365.1	837.6769781319633	-221.313323387469	no	gamma	no	Gammaproteobacteria
GCA_014145225.1	-247.98162604533317	-496.5940580748714	no	gamma	no	Gammaproteobacteria
GCA_010912705.1	-317.0268119055534	907.0393391070378	no	gamma	no	Gammaproteobacteria
GCA_902601155.1	-839.2299271050279	-589.174817763431	no	gamma	no	Gammaproteobacteria
GCA_000380365.1	1354.3109075675764	-366.0682228351922	no	gamma	no	Gammaproteobacteria
GCA_000380335.1	1364.349514395294	-376.82475736346265	no	gamma	no	Gammaproteobacteria
GCA_001644035.1	423.08981755757486	-998.596189781098	PXM	gamma	PXM	Gammaproteobacteria
GCA_001644025.1	421.5010846661087	-955.996067355004	PXM	gamma	PXM	Gammaproteobacteria
GCA_002282895.1	862.593405531854	-835.0136538204647	no	gamma	no	Gammaproteobacteria
GCF_000515215.1	398.534088315638	-902.0350267815668	no	gamma	no	Gammaproteobacteria
GCA_002443175.1	320.435186582504	-238.9998060009524	no	gamma	no	Gammaproteobacteria
GCA_000190755.3	230.9400926440672	-951.463742262674	PXM	gamma	PXM	Gammaproteobacteria
GCA_018734325.1	68.5928470065475	-734.5120842243333	PXM	gamma	PXM	Gammaproteobacteria
GCA_000214275.3	306.0896023669182	-722.8589237579091	PXM	gamma	PXM	Gammaproteobacteria
GCA_018722605.1	83.9134205023344	-928.6647805472006	PMO	gamma	PMO	Gammaproteobacteria
GCA_015711015.1	323.2041623780101	-942.3774027951362	PXM	gamma	PXM	Gammaproteobacteria
GCA_002934385.1	231.08540675377347	-969.7528045703244	PMO	gamma	PMO	Gammaproteobacteria
GCA_002934365.1	198.79368743351225	-942.5872274119456	PXM	gamma	PXM	Gammaproteobacteria
GCF_000733855.1	289.17491191867987	-718.8811015454958	no	gamma	no	Gammaproteobacteria
GCA_000785705.2	371.42499407660176	-941.945486540857	PXM	gamma	PXM	Gammaproteobacteria
GCA_006483455.1	372.896492616738	-841.4054083819058	PMO	gamma	PMO	Gammaproteobacteria
GCA_002834115.1	405.4683600791629	-956.2853375343528	PMO	gamma	PMO	Gammaproteobacteria
GCA_000953855.3	500.9333094759171	-62.412044277415525	no	gamma	no	Gammaproteobacteria
GCA_016583905.1	380.9195644720454	-1105.0842149866387	no	gamma	no	Gammaproteobacteria
GCA_002923755.1	95.97808766863916	-958.968615120534	PMO	gamma	PMO	Gammaproteobacteria
GCA_018971345.1	-358.11398294903705	-237.9473317737332	no	gamma	no	Gammaproteobacteria
GCA_900142045.1	328.7151400336656	-269.0019022054398	no	gamma	no	Gammaproteobacteria
GCF_000733835.1	270.9617471421448	-1019.435419389908	no	gamma	no	Gammaproteobacteria
GCA_018820245.1	753.3796073064784	1284.3089325025526	no	gamma	no	Gammaproteobacteria
GCA_016865255.1	389.8798345465996	-944.0430590719368	PXM	gamma	PXM	Gammaproteobacteria
GCF_000746145.1	357.3574839578229	-1064.161109560801	no	gamma	no	Gammaproteobacteria
GCA_004343025.1	383.26057452890296	-956.471926080508	PXM	gamma	PXM	Gammaproteobacteria
GCA_900108885.1	1303.7394943919412	-445.4026913354308	no	gamma	no	Gammaproteobacteria
GCF_000685925.1	258.4453974146854	-981.710078781498	no	gamma	no	Gammaproteobacteria
GCF_000427625.1	203.54652417774372	-1091.2172888861164	no	gamma	no	Gammaproteobacteria
GCA_001267315.1	504.60102001708094	-110.27941094113366	no	gamma	no	Gammaproteobacteria
GCA_018824085.1	840.8056021433794	3.136544425006966	no	gamma	no	Gammaproteobacteria
GCF_000745375.1	380.9731373367404	-1068.581817818092	no	gamma	no	Gammaproteobacteria
GCF_000383855.1	328.6527900472434	-1027.5381542143857	no	gamma	no	Gammaproteobacteria
GCF_000365425.1	431.2544759715484	-952.900035460876	no	gamma	no	Gammaproteobacteria
GCA_900163755.1	-31.09114719396443	-701.5008364009294	PMO	gamma	PMO	Gammaproteobacteria
GCA_002441955.1	390.8448210293647	-861.798369409537	PXM	gamma	PXM	Gammaproteobacteria
GCA_000214665.1	346.6966456334689	-864.2677153258913	PMO	gamma	PMO	Gammaproteobacteria
GCA_002101225.1	-188.7840695649288	-287.5231575953799	PMO	gamma	PMO	Gammaproteobacteria
GCA_001312005.1	301.67715499803114	-922.7208070421692	no	gamma	no	Gammaproteobacteria
GCA_002632025.1	-509.9342834733813	763.64814660865	no	gamma	no	Gammaproteobacteria
GCA_001267235.1	558.2671997762209	-137.84419696025452	no	gamma	no	Gammaproteobacteria
GCA_001267255.1	175.38588288204122	473.0548321291856	no	gamma	no	Gammaproteobacteria
GCA_001267275.1	140.33934253502474	534.2134050459221	no	gamma	no	Gammaproteobacteria
GCA_001267215.1	513.6192598580644	-125.47125184546591	no	gamma	no	Gammaproteobacteria
GCA_001267175.1	582.5446755794146	-162.37209598015892	no	gamma	no	Gammaproteobacteria
GCA_001267195.1	38.93557356394435	638.8002567872118	no	gamma	no	Gammaproteobacteria
GCA_003585885.1	-829.1288141989405	-782.8752745003428	no	gamma	no	Gammaproteobacteria
GCA_903813375.1	-345.04937329518896	-257.4576920191963	no	gamma	no	Gammaproteobacteria
GCA_903813385.1	-321.1608189271272	254.695888691468	no	gamma	no	Gammaproteobacteria
GCA_903813395.1	-319.85788247043206	265.6593473520848	no	gamma	no	Gammaproteobacteria
GCA_000188195.1	-745.9522317533743	-927.583991630176	no	gamma	no	Gammaproteobacteria
GCA_004327905.1	1286.8309935871002	-463.6032059637504	no	gamma	no	Gammaproteobacteria
GCA_004327885.1	1262.9795380512044	-456.3104641966696	no	gamma	no	Gammaproteobacteria
GCA_000464015.1	-1137.296671543032	778.4809183054001	no	beta	no	Betaproteobacteria
GCA_013328345.1	781.1158009404288	-741.2739092529199	no	gamma	no	Gammaproteobacteria
GCA_002189065.1	-83.41499585093828	-608.0485481698713	PMO	gamma	PMO	Gammaproteobacteria
GCA_013414725.1	-393.415115410138	730.1833158864869	no	gamma	no	Gammaproteobacteria
GCA_014636195.1	886.2085706239978	-921.4895931160536	no	gamma	no	Gammaproteobacteria
GCA_014636215.1	94.7476573487744	1427.6612326353757	no	gamma	no	Gammaproteobacteria
GCA_010993985.1	-123.72798254263252	1123.9707959431355	no	gamma	no	Gammaproteobacteria
GCA_003666325.1	-236.99317476794917	-424.80359148790586	PMO	gamma	PMO	Gammaproteobacteria
GCA_003666345.1	-248.7876142685273	-422.7512120309431	PMO	gamma	PMO	Gammaproteobacteria
GCA_900108965.1	1282.6599501338085	-500.5114166706754	no	gamma	no	Gammaproteobacteria
GCA_014647215.1	986.3255501183952	-789.1346474407513	no	gamma	no	Gammaproteobacteria
GCA_002072955.1	43.53551403440746	-905.4217584032968	PMO	gamma	PMO	Gammaproteobacteria
GCA_016653615.1	-131.20335498568414	972.0400087457716	no	gamma	no	Gammaproteobacteria
GCA_001044195.1	-367.4045069400378	490.9597168352167	no	gamma	no	Gammaproteobacteria
GCA_001242845.1	-956.1689766579764	-569.2477824801482	no	gamma	no	Gammaproteobacteria
GCA_001276615.1	-522.657904583564	708.134823950638	no	gamma	no	Gammaproteobacteria
GCA_004339665.1	1285.97026840067	-463.27834769838427	no	gamma	no	Gammaproteobacteria
GCA_900637865.1	-645.6390515727742	-691.744207030424	no	gamma	no	Gammaproteobacteria
GCA_014836765.1	1176.6434594956463	-198.97624472838652	no	gamma	no	Gammaproteobacteria
GCF_000427385.1	544.7740777524639	-871.2079645293833	no	gamma	no	Gammaproteobacteria
GCA_003751625.1	64.93433910833836	1336.5051588386414	no	gamma	no	Gammaproteobacteria
GCA_002256705.1	-429.87698842787097	458.013891785622	PMO	gamma	PMO	Gammaproteobacteria
GCA_016653315.1	218.61796299050533	-1160.6478255181478	no	gamma	no	Gammaproteobacteria
GCA_014270035.1	936.6235464985144	-759.7099560246546	no	gamma	no	Gammaproteobacteria
GCA_003596335.1	-141.87392986987405	1317.360939985889	no	gamma	no	Gammaproteobacteria
GCA_000228725.3	45.63085418960429	-1076.0407764230029	no	gamma	no	Gammaproteobacteria
GCA_900128525.1	32.53573016029269	-621.835322892194	PMO	gamma	PMO	Gammaproteobacteria
GCA_003971065.1	466.162697716904	996.2590146040966	no	beta	no	Betaproteobacteria
GCA_900094635.1	-725.1057467350747	-685.415243089537	PMO	others	PMO	
GCA_018474005.1	551.4588651360701	873.2794345392747	no	beta	no	Betaproteobacteria
GCA_016745425.1	424.0058837365228	-823.377777499962	PXM	gamma	PXM	Gammaproteobacteria
GCA_004563765.1	-1047.8980586185237	-902.7092003345006	no	gamma	no	Gammaproteobacteria
GCA_001984525.1	1639.622360141158	-1032.846460897914	no	gamma	no	Gammaproteobacteria
GCA_016928055.1	-283.1444041501668	-384.1277497627904	no	gamma	no	Gammaproteobacteria
GCA_017254865.1	-3.0342162637686383	1295.1133359032367	no	gamma	no	Gammaproteobacteria
GCA_003863415.1	1389.3576839210928	877.1517180599806	no	beta	no	Betaproteobacteria
GCA_003951285.1	1358.6182769647985	856.480316489897	no	beta	no	Betaproteobacteria
GCA_018061105.1	-436.1296829746822	646.534314181447	no	gamma	no	Gammaproteobacteria
GCA_000015105.1	-380.7544814553952	-19.81222186488815	no	gamma	no	Gammaproteobacteria
GCA_003402575.1	-588.5448406847988	-610.9706593641376	no	beta	no	Betaproteobacteria
